lag,OR,lower_CI,upper_CI,lag_constr
lag1,1.0627888465394586,1.002486804916747,1.126718203959279,inpatient
lag2,1.0314644019515864,0.9989972276531061,1.0649867517578149,inpatient
lag3,1.003768529556521,0.9866566327403317,1.0211772033900954,inpatient
lag4,0.9821030440687206,0.9571137519861533,1.007744781816698,inpatient
lag5,0.9687166504603741,0.9349907491836814,1.0036590733100539,inpatient
lag6,0.9657749492862578,0.931753358465136,1.001038787995712,inpatient
lag7,0.9731831312034837,0.9475510477827351,0.9995085848674771,inpatient
lag8,0.9886200958860418,0.9731357913968519,1.0043507829331786,inpatient
lag9,1.0097374090329079,0.9828287940595778,1.0373827480055342,inpatient
lag10,1.0340928465216817,0.9816507022683788,1.0893365763975782,inpatient
