lag,OR,lower_CI,upper_CI,lag_constr
lag1,1.0307335038444274,0.9900699848334236,1.073067128811261,3-df
lag2,1.020314815358447,0.9972586418351729,1.0439040372958786,3-df
lag3,1.0106604189080521,0.9985475601908358,1.0229202123854666,3-df
lag4,1.0024041403863486,0.9864470629093633,1.018619344559819,3-df
lag5,0.9961626185452349,0.9742272234728945,1.0185919041036822,3-df
lag6,0.9925191294799808,0.970003592313703,1.0155572929724939,3-df
lag7,0.9914453675274014,0.9740969074890119,1.0091027999723243,3-df
lag8,0.9923125506350877,0.981335730659967,1.0034121528273454,3-df
lag9,0.9944769244120553,0.9776712948765696,1.0115714334365513,3-df
lag10,0.9972962847813643,0.9657417122277465,1.0298818690811196,3-df
lag1,1.0140153698054069,0.9573662523274481,1.074016519489671,4-df
lag2,1.0193471830101601,0.9963314162710267,1.0428946257658671,4-df
lag3,1.021340435245255,0.9919796757723742,1.0515702187696145,4-df
lag4,1.0166244369070685,0.978113848400372,1.0566512757250734,4-df
lag5,1.0038314779292554,0.9757844337043299,1.032684680422938,4-df
lag6,0.989079540532575,0.9654873739168848,1.0132481935329234,4-df
lag7,0.9800076897787856,0.9474531260424385,1.0136808308789447,4-df
lag8,0.9820470137407065,0.9551056028502539,1.0097483820836146,4-df
lag9,0.9928693911014244,0.9758607694527055,1.0101744620177489,4-df
lag10,1.0082784577285855,0.9667314579178835,1.0516110135787986,4-df
lag1,1.0376726845608586,0.9944745155578268,1.0827473036649446,3-df w/parish ses
lag2,1.0226243690677277,0.9981167071685852,1.0477337897466292,3-df w/parish ses
lag3,1.0089014527516695,0.9961995108903511,1.0217653494476215,3-df w/parish ses
lag4,0.997550912444382,0.9811923094686675,1.0141822487963519,3-df w/parish ses
lag5,0.9895824002048801,0.9670214898315291,1.0126696635933674,3-df w/parish ses
lag6,0.9859534534537042,0.9626809801667113,1.0097885305773282,3-df w/parish ses
lag7,0.9866166029690231,0.9685251447573581,1.0050459985713651,3-df w/parish ses
lag8,0.9905376700076287,0.9789750200435726,1.0022368861469744,3-df w/parish ses
lag9,0.9966605912674009,0.9793149740226358,1.0143134339152107,3-df w/parish ses
lag10,1.0039230662480256,0.9712793382390442,1.0376639173361992,3-df w/parish ses
